N	V	V1
1337000	54810	22123
1338000	54830	22132
1339000	54850	22136
1340000	54878	22147
1341000	54899	22155
1342000	54922	22162
1343000	54937	22166
1344000	54958	22173
1345000	54975	22180
1346000	54984	22181
1347000	55000	22191
1348000	55020	22198
1349000	55040	22210
1350000	55063	22222
1351000	55090	22228
1352000	55104	22226
1353000	55134	22232
1354000	55157	22243
1355000	55177	22252
1356000	55198	22267
1357000	55221	22272
1358000	55240	22275
1359000	55253	22275
1360000	55265	22277
1361000	55290	22288
1362000	55296	22288
1363000	55322	22298
1364000	55337	22301
1365000	55372	22315
1366000	55395	22327
1367000	55410	22330
1368000	55419	22330
1369000	55434	22337
1370000	55458	22349
1371000	55489	22370
1372000	55499	22371
1373000	55509	22377
1374000	55519	22378
1375000	55540	22386
1376000	55563	22396
1377000	55591	22400
1378000	55604	22403
1379000	55618	22410
1380000	55623	22407
1381000	55640	22414
1382000	55657	22424
1383000	55666	22423
1384000	55709	22443
1385000	55734	22459
1386000	55757	22465
1387000	55773	22469
1388000	55791	22469
1389000	55805	22472
1390000	55823	22476
1391000	55837	22481
1392000	55855	22491
1393000	55871	22499
1394000	55876	22500
1395000	55897	22505
1396000	55905	22510
1397000	55913	22507
1398000	55930	22514
1399000	55951	22524
1400000	55969	22529
1401000	55981	22538
1402000	55987	22540
1403000	56017	22555
1404000	56036	22558
1405000	56060	22572
1406000	56073	22570
1407000	56103	22588
1408000	56129	22600
1409000	56147	22605
1410000	56180	22617
1411000	56199	22622
1412000	56215	22628
1413000	56238	22642
1414000	56250	22644
1415000	56255	22641
1416000	56260	22643
1417000	56276	22642
1418000	56297	22652
1419000	56328	22662
1420000	56343	22666
1421000	56374	22686
1422000	56394	22698
1423000	56414	22708
1424000	56433	22715
1425000	56443	22713
1426000	56454	22713
1427000	56474	22726
1428000	56482	22732
1429000	56492	22732
1430000	56513	22740
1431000	56547	22755
1432000	56575	22768
1433000	56600	22781
1434000	56617	22788
1435000	56626	22790
1436000	56637	22796
1437000	56650	22799
1438000	56662	22808
1439000	56672	22813
1440000	56683	22816
1441000	56703	22827
1442000	56724	22840
1443000	56736	22845
1444000	56745	22850
1445000	56764	22859
1446000	56784	22870
1447000	56805	22873
1448000	56823	22880
1449000	56832	22883
1450000	56858	22888
1451000	56886	22901
1452000	56906	22911
1453000	56938	22920
1454000	56950	22925
1455000	56972	22935
1456000	56984	22938
1457000	56999	22947
1458000	57000	22947
1459000	57032	22954
1460000	57070	22971
1461000	57114	22999
1462000	57142	23011
1463000	57161	23017
1464000	57185	23028
1465000	57219	23049
1466000	57232	23053
1467000	57249	23060
1468000	57269	23061
1469000	57298	23078
1470000	57309	23083
1471000	57330	23094
1472000	57348	23094
1473000	57358	23093
1474000	57380	23104
1475000	57390	23107
1476000	57407	23120
1477000	57428	23127
1478000	57445	23134
1479000	57464	23144
1480000	57481	23148
1481000	57514	23169
1482000	57540	23174
1483000	57568	23181
1484000	57598	23190
1485000	57614	23194
1486000	57622	23195
1487000	57647	23204
1488000	57674	23217
1489000	57695	23223
1490000	57705	23222
1491000	57715	23227
1492000	57728	23226
1493000	57758	23250
1494000	57766	23255
1495000	57783	23267
1496000	57800	23273
