N	V	V1
930000	67279	34592
931000	67319	34610
932000	67347	34611
933000	67388	34633
934000	67445	34669
935000	67468	34670
936000	67529	34695
937000	67590	34722
938000	67663	34757
939000	67717	34788
940000	67767	34802
941000	67817	34818
942000	67873	34835
943000	67921	34851
944000	67961	34865
945000	68002	34873
946000	68062	34906
947000	68110	34918
948000	68145	34924
949000	68185	34942
950000	68224	34961
951000	68263	34978
952000	68294	34993
953000	68330	35003
954000	68370	35027
955000	68423	35059
956000	68474	35093
957000	68520	35117
958000	68567	35147
959000	68604	35162
960000	68659	35195
961000	68712	35236
962000	68756	35255
963000	68799	35284
964000	68845	35314
965000	68893	35340
966000	68929	35356
967000	68972	35383
968000	69016	35411
969000	69060	35438
970000	69115	35476
971000	69168	35510
972000	69216	35542
973000	69252	35557
974000	69289	35574
975000	69327	35588
976000	69358	35606
977000	69401	35628
978000	69427	35639
979000	69468	35661
980000	69494	35676
981000	69512	35687
982000	69544	35700
983000	69580	35725
984000	69609	35743
985000	69629	35750
986000	69651	35763
987000	69684	35778
988000	69708	35794
989000	69737	35810
990000	69790	35838
991000	69854	35863
992000	69890	35879
993000	69914	35892
994000	69933	35897
995000	69944	35893
996000	69971	35912
997000	69998	35930
998000	70013	35930
999000	70030	35939
1000000	70050	35950
1001000	70075	35962
1002000	70102	35980
1003000	70121	35991
1004000	70136	35989
1005000	70156	36001
1006000	70204	36033
1007000	70251	36050
1008000	70313	36083
1009000	70361	36100
1010000	70403	36106
1011000	70445	36124
1012000	70497	36155
1013000	70554	36187
1014000	70601	36210
1015000	70648	36228
1016000	70694	36254
1017000	70734	36262
1018000	70779	36279
1019000	70814	36281
1020000	70847	36283
1021000	70893	36306
1022000	70947	36335
1023000	71003	36370
1024000	71080	36403
1025000	71134	36436
1026000	71189	36462
1027000	71267	36498
1028000	71324	36516
1029000	71375	36542
1030000	71408	36563
1031000	71448	36585
1032000	71486	36600
1033000	71524	36614
1034000	71565	36637
1035000	71588	36648
1036000	71612	36659
1037000	71632	36670
1038000	71660	36683
1039000	71682	36690
1040000	71714	36711
1041000	71744	36726
1042000	71764	36735
1043000	71795	36755
1044000	71826	36773
1045000	71868	36798
1046000	71907	36825
1047000	71959	36854
1048000	72013	36878
1049000	72051	36904
1050000	72080	36919
1051000	72110	36931
1052000	72155	36954
1053000	72183	36968
1054000	72222	36995
1055000	72244	37003
1056000	72266	37015
1057000	72285	37020
1058000	72320	37040
1059000	72355	37056
1060000	72381	37061
1061000	72408	37074
1062000	72433	37082
1063000	72467	37102
1064000	72493	37118
1065000	72518	37129
1066000	72546	37144
1067000	72580	37168
1068000	72641	37197
1069000	72699	37208
1070000	72745	37217
1071000	72771	37216
1072000	72823	37252
1073000	72880	37297
1074000	72934	37333
1075000	72970	37358
1076000	73014	37374
1077000	73074	37415
1078000	73109	37431
1079000	73141	37446
1080000	73181	37471
1081000	73206	37478
1082000	73239	37493
1083000	73267	37501
1084000	73296	37517
1085000	73324	37534
1086000	73370	37568
1087000	73395	37574
1088000	73433	37601
